OBSCO1_1, OBSCO2_1, OBSCO3_1, OBSCO4_1, OBSCO5_1, OBSCO6_1, cnt, UMat
673,424,276,368,465,447,0,26
664,427,270,356,464,443,0,25
657,429,264,345,464,439,13,23
837,556,484,619,501,449,12,16
832,548,476,616,500,451,0,16
828,539,467,610,500,453,0,16
823,528,456,603,499,455,0,17
817,515,444,593,499,458,11,18
810,501,430,581,498,460,0,20
801,485,414,566,496,462,0,22
791,469,397,550,493,464,0,25
780,453,380,533,490,466,0,26
768,439,364,515,487,467,0,27
754,428,348,496,483,468,11,28
740,418,332,478,478,467,12,28
725,411,319,460,473,464,0,28
709,406,305,442,468,460,11,28
694,403,293,424,464,456,0,29
681,402,284,408,459,450,0,28
668,403,275,393,456,444,0,26
658,405,268,380,454,439,11,25
648,407,262,368,452,434,0,23
641,410,257,358,451,431,17,22
856,552,493,604,500,440,14,17
851,545,485,601,499,442,0,17
845,535,474,597,499,443,0,17
838,524,462,591,499,445,11,18
831,510,448,583,499,447,0,20
821,494,431,573,499,448,0,22
808,477,412,560,497,450,0,25
795,459,393,546,494,452,0,27
781,442,374,530,491,454,0,28
766,427,355,514,487,455,11,28
750,413,338,498,481,455,11,29
733,403,323,481,475,455,0,28
716,395,309,464,469,453,0,28
699,390,297,448,463,450,11,27
683,387,285,432,456,446,0,27
668,386,276,417,451,441,0,26
655,387,268,404,446,435,0,24
644,388,262,391,443,430,0,23
635,390,257,380,440,426,0,22
627,393,252,370,439,422,12,20
874,549,502,588,497,433,13,17
869,541,493,586,498,434,0,17
862,532,482,583,498,434,0,18
854,520,469,578,498,435,11,20
844,505,453,572,499,436,0,22
831,489,434,563,498,436,0,24
816,470,412,552,497,437,0,27
800,451,391,540,494,439,11,29
783,432,369,527,491,440,0,29
765,415,349,512,486,442,11,30
747,401,331,498,479,443,0,29
728,390,316,483,472,443,12,28
709,382,302,468,465,441,0,27
692,377,290,453,457,439,0,26
673,373,279,439,450,435,0,26
658,373,271,425,443,431,0,25
645,373,264,413,437,426,11,23
633,375,258,401,433,422,11,21
623,377,253,390,430,418,11,20
615,380,250,381,428,415,0,19
890,546,511,574,494,426,0,17
884,539,502,573,495,426,0,17
877,529,490,570,496,426,0,18
867,516,475,567,496,426,0,20
856,502,458,562,497,425,0,22
841,483,436,554,497,425,0,25
824,464,413,545,496,425,11,28
806,443,389,534,493,426,0,30
786,424,366,523,490,427,0,31
766,406,345,510,484,429,0,30
745,391,326,497,477,430,0,29
724,380,310,484,470,430,0,28
704,372,297,471,461,430,0,27
685,367,285,458,452,428,12,25
667,363,275,445,443,425,0,24
650,362,267,433,436,422,11,23
637,363,261,421,429,417,0,21
625,365,256,410,424,413,0,20
615,367,252,400,421,410,11,19
606,369,248,391,418,408,11,17
903,544,518,562,492,420,0,16
897,536,509,561,492,420,0,16
889,526,497,559,493,419,0,17
879,514,481,557,494,418,0,20
866,498,463,553,495,416,0,23
850,479,440,547,495,415,0,26
831,458,415,538,494,415,0,29
811,437,389,529,492,415,0,31
789,417,365,519,489,415,11,32
767,398,342,508,483,417,0,31
744,383,323,497,476,418,11,30
722,372,307,485,467,419,11,28
701,364,293,473,457,419,0,26
681,359,283,462,448,418,0,24
662,356,274,450,439,416,0,23
645,354,265,439,430,413,0,22
631,355,260,428,423,410,11,20
618,356,255,418,417,407,0,18
608,358,251,409,413,404,0,17
599,360,248,400,410,402,11,16
913,542,524,553,489,416,0,15
907,535,515,552,490,415,0,15
899,524,502,550,491,413,0,16
889,512,487,548,492,411,0,19
875,496,467,545,493,409,0,22
858,476,443,540,494,407,0,26
838,454,417,533,493,405,0,30
816,432,390,525,491,405,0,32
792,411,364,516,488,405,0,32
769,393,341,506,482,406,0,31
745,377,321,496,474,408,0,30
722,366,305,486,465,409,0,27
699,357,292,475,455,410,0,25
678,352,281,465,444,410,11,24
659,350,273,454,435,409,11,22
641,348,264,444,426,406,0,21
626,348,259,434,418,404,0,19
614,350,255,425,412,401,0,17
603,351,251,416,407,399,0,16
593,353,248,408,404,397,11,14
921,541,529,545,487,412,42,13
915,533,519,545,488,411,0,13
907,523,507,544,489,408,11,15
896,510,491,542,490,406,12,18
882,493,471,539,492,403,13,22
864,473,446,534,492,400,11,26
843,451,419,529,492,398,11,30
820,428,391,521,490,396,0,32
796,407,364,513,487,396,11,32
771,388,340,505,481,397,14,31
746,372,320,496,473,399,15,29
722,361,304,486,463,401,14,27
699,353,291,477,453,402,13,25
678,348,281,468,442,403,13,23
658,345,272,458,432,402,14,21
639,343,265,449,422,401,11,20
624,343,260,439,414,399,13,18
611,344,256,431,408,397,11,16
599,346,252,422,403,396,11,15
589,347,249,415,399,394,27,14
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
